input,label,output
"Dasar tidak becus! Pekerjaan begini saja salah semua.","marah","Maaf atas ketidaknyamanan ini. Tolong beritahu bagian mana yang salah agar segera saya perbaiki."
"Saya sudah menunggu dua jam, pelayanannya sangat buruk!","marah","Saya mengerti kekecewaan Anda. Mohon maaf atas keterlambatan ini, saya akan segera mengecek status antrian Anda."
"Jangan pernah hubungi saya lagi, saya muak dengan alasanmu.","marah","Baik, saya menghargai keputusan Anda. Saya tidak akan menghubungi lagi. Mohon maaf jika ada kesalahan sebelumnya."
"Siapa yang bertanggung jawab atas kekacauan ini?","marah","Kami bertanggung jawab penuh. Mari kita selesaikan masalah ini bersama-sama dengan kepala dingin."
"Kamu pikir saya main-main? Cepat kerjakan!","marah","Siap, dimengerti. Saya akan memprioritaskan tugas ini sekarang juga."
"Diam kamu! Saya tidak butuh penjelasan.","marah","Baik, saya akan diam. Silakan hubungi saya kembali jika Anda sudah siap berbicara."
"Ini penipuan namanya, kembalikan uang saya sekarang!","marah","Tenang Pak/Bu, kami perusahaan resmi. Silakan kirimkan bukti transaksi, kami akan proses refund jika memang ada kesalahan sistem."
"Gara-gara kamu, proyek kita jadi hancur berantakan.","marah","Saya minta maaf jika kontribusi saya kurang maksimal. Mari kita evaluasi apa yang masih bisa diselamatkan."
"Minggir dari hadapanku, bikin emosi saja.","marah","Baik, saya akan memberi Anda ruang untuk sendiri dulu."
"Saya sangat kecewa dengan sikap tidak profesional Anda.","marah","Terima kasih atas masukannya. Saya akan introspeksi diri agar lebih profesional ke depannya."
"Ih, baunya busuk sekali, seperti bangkai tikus.","jijik","Waduh, maaf ya. Sebaiknya kita panggil petugas kebersihan atau pindah ke ruangan lain."
"Lihat itu, ada kecoa di dalam supnya. Mau muntah rasanya.","jijik","Astaga! Itu tidak bisa dimaafkan. Segera panggil pelayan untuk ganti baru atau batalkan pesanan."
"Jangan sentuh saya dengan tangan kotor itu.","jijik","Maaf, saya akan mencuci tangan terlebih dahulu sampai bersih sebelum mendekat."
"Tempat ini jorok sekali, banyak sampah berserakan.","jijik","Benar, kondisinya memprihatinkan. Mari kita cari tempat yang lebih higienis."
"Duh, mukanya berminyak banget, bikin ilfeel.","jijik","Mungkin dia sedang banyak aktivitas fisik. Tapi saya mengerti ketidaknyamanan Anda melihatnya."
"Makanan ini rasanya aneh, teksturnya seperti lendir.","jijik","Jangan ditelan! Keluarkan saja. Bahaya kalau makanan sudah basi."
"Saya tidak sanggup melihat luka yang bernanah itu.","jijik","Tutup mata saja atau berpaling. Biar dokter yang menanganinya."
"Kenapa dia makan dengan cara menjijikkan seperti itu?","jijik","Mungkin itu kebiasaannya, meski memang kurang sedap dipandang. Kita fokus ke makanan kita saja."
"Buang sampah itu jauh-jauh, baunya menyengat.","jijik","Siap, akan segera saya buang ke tempat sampah tertutup di luar."
"Aku tidak mau masuk toilet umum itu, kotor sekali.","jijik","Oke, kita cari toilet di gedung sebelah yang mungkin lebih terawat."
"Tolong! Ada orang asing yang mengikuti saya dari tadi.","takut","Tetap tenang. Segera masuk ke toko terdekat yang ramai atau kantor polisi. Jangan berhenti di tempat sepi."
"Jangan sakiti saya, ambil saja dompetnya.","takut","Keselamatan nyawa lebih penting dari harta. Berikan saja dan segera lari minta pertolongan."
"Suara apa itu di luar jendela? Aku merinding.","takut","Mungkin hanya angin atau kucing. Coba nyalakan lampu luar agar terlihat jelas."
"Saya tidak berani pulang sendirian lewat jalan gelap itu.","takut","Jangan ambil risiko. Sebaiknya pesan taksi online atau minta teman menjemput."
"Lari! Gedung ini mau roboh!","takut","Ikuti jalur evakuasi! Lindungi kepala dan jangan gunakan lift!"
"Kakiku gemetar hebat melihat ketinggian ini.","takut","Tarik napas dalam-dalam. Jangan melihat ke bawah, fokus pada pegangan tangan."
"Duh, jantungku berdebar kencang, sepertinya ada hantu.","takut","Baca doa sesuai keyakinanmu. Rasa takut seringkali memanipulasi pikiran kita."
"Bagaimana kalau besok saya gagal total?","takut","Gagal itu bagian dari proses. Yang penting kamu sudah berusaha maksimal. Hasil tidak akan mengkhianati usaha."
"Jangan tinggalkan aku sendirian di rumah kosong ini.","takut","Aku tidak akan pergi. Aku akan menemanimu lewat telepon sampai orang tuamu pulang."
"Awas, anjing itu terlihat galak sekali!","takut","Jangan lari dan jangan tatap matanya. Mundur perlahan dengan tenang."
"Hore! Akhirnya aku lulus ujian dengan nilai sempurna!","senang","Wah, selamat ya! Keren banget! Usaha kerasmu belajar siang malam terbayar lunas."
"Terima kasih banyak atas hadiahnya, aku suka sekali!","senang","Sama-sama! Aku senang kalau kamu menyukainya. Semoga bermanfaat ya."
"Wah, cuaca hari ini sangat cerah dan indah.","senang","Benar! Waktu yang pas untuk jalan-jalan atau sekadar menikmati udara segar."
"Selamat ya atas pernikahan kalian, semoga bahagia!","senang","Aamiin! Terima kasih banyak atas doanya. Senang kamu bisa ikut merasakan kebahagiaan kami."
"Asyik, besok kita jadi liburan ke Bali.","senang","Yeay! Jangan lupa siapkan kamera dan baju pantai. Kita akan bersenang-senang!"
"Makanannya enak sekali, rasanya pas di lidah.","senang","Syukurlah kalau cocok. Koki pasti senang mendengarnya. Mau tambah lagi?"
"Aku sangat bangga dengan pencapaianmu hari ini.","senang","Terima kasih! Dukunganmu sangat berarti buatku. Ini juga berkat bantuanmu."
"Senyummu membuat hariku jadi lebih berwarna.","senang","Aduh, kamu bisa saja bikin orang tersipu. Terima kasih pujiannya!"
"Akhirnya gajian cair juga, ayo kita makan enak.","senang","Ide bagus! Kamu yang traktir atau kita patungan? Haha. Ayo berangkat!"
"Ini adalah hari terbaik dalam hidupku!","senang","Nikmati momen ini! Simpan kenangannya baik-baik agar bisa jadi penyemangat di kemudian hari."
"Kenapa dia tega meninggalkan aku begitu saja?","sedih","Sabar ya. Kepergian seseorang memang menyakitkan. Menangislah jika itu membuatmu lega."
"Rasanya hampa sekali hidup tanpa kehadiran ayah.","sedih","Aku turut berduka cita. Beliau pasti bangga punya anak sepertimu. Kirimkan doa terbaik untuknya."
"Aku gagal lagi, rasanya ingin menyerah saja.","sedih","Hei, istirahatlah sebentar tapi jangan menyerah. Kegagalan hari ini adalah pelajaran untuk sukses besok."
"Maafkan aku yang selalu mengecewakan kalian.","sedih","Jangan bicara begitu. Semua orang pernah berbuat salah. Kami tetap menyayangimu apa adanya."
"Hujan ini membuatku teringat kenangan pahit itu.","sedih","Kenangan memang sulit dihapus. Tapi percayalah, seiring waktu lukanya akan sembuh. Kamu kuat."
"Sakit sekali rasanya dikhianati teman sendiri.","sedih","Aku mengerti perasaanmu. Dikhianati memang pedih. Jadikan ini pelajaran untuk lebih selektif memilih teman."
"Tidak ada yang peduli padaku di dunia ini.","sedih","Itu tidak benar. Aku peduli, dan masih banyak orang lain yang peduli. Kamu tidak sendirian."
"Saya turut berduka cita atas kepergian beliau.","sedih","Terima kasih atas simpati Anda. Dukungan moril seperti ini sangat berarti bagi keluarga kami."
"Air mataku tidak bisa berhenti mengalir malam ini.","sedih","Keluarkan saja semuanya. Jangan ditahan. Besok pagi, semoga hatimu sedikit lebih ringan."
"Semua usaha kerasku sia-sia, tidak ada hasilnya.","sedih","Tidak ada usaha yang sia-sia, mungkin hasilnya belum terlihat sekarang. Tuhan punya rencana waktu yang lebih indah."
"Rapat akan dimulai jam 9 pagi di ruang konferensi.","netral","Baik, notulen rapat sudah saya siapkan. Saya akan hadir tepat waktu."
"Tolong ambilkan kertas yang ada di atas meja.","netral","Oke, ini kertasnya. Ada lagi yang perlu diambilkan?"
"Saya sedang membaca buku sejarah.","netral","Oh, tentang era apa? Sepertinya menarik. Jangan lupa istirahatkan mata sesekali."
"Cuaca hari ini sedikit mendung tapi tidak hujan.","netral","Semoga tetap kondusif. Tetap bawa payung untuk berjaga-jaga."
"Di mana letak stasiun kereta terdekat?","netral","Lurus saja sekitar 500 meter, lalu belok kiri di perempatan. Stasiun ada di sebelah kanan."
"Harga beras naik seribu rupiah per kilogram.","netral","Informasi diterima. Kita perlu menyesuaikan anggaran belanja bulan depan."
"Saya pesan satu nasi goreng dan es teh tawar.","netral","Baik, satu nasi goreng dan satu es teh tawar. Mohon ditunggu sebentar."
"Oke, data sudah saya kirim lewat email.","netral","Terima kasih konfirmasinya. Saya akan segera mengecek inbox dan mengabarimu."
"Lampu lalu lintas berubah menjadi hijau.","netral","Ayo jalan perlahan. Tetap waspada dengan pengendara lain."
"Apa menu makan siang di kantin hari ini?","netral","Hari ini ada ayam bakar, sayur asem, dan tempe goreng. Mau nitip?"